,x1,x2,x3,dx1,dx2,dx3,rkStep
16.193,-14.291945657408187,-18.338194774003483,30.275789362515678,-40.46249116595297,50.863652670785164,181.35304486498276,3.0
16.194,-14.331948657354102,-18.286014081602737,30.456898580584923,-39.54065424248634,53.49815839487202,180.85581875029146,3.0
16.195,-14.371021281849146,-18.231197843393137,30.637481795581934,-38.60176561543991,56.13450485819081,180.30098074611988,3.0
16.196,-14.409146557388837,-18.17374494047155,30.81748122881348,-37.645983830827134,58.77124488913699,179.68820440035586,3.0
16.197,-14.446307675470624,-18.11365571137101,30.99683879678321,-36.673480359003854,61.406911023488426,179.01720674258945,3.0
16.198,-14.482488005553126,-18.05093197163399,31.17549615521546,-35.684439660808636,64.04001695122194,178.2877493543368,3.0
16.199,-14.517671108072292,-17.98557703191179,31.353394744115704,-34.67905923839499,66.66905902252182,177.49963938721922,3.0
16.2,-14.551840747502439,-17.917595714525767,31.530475833831115,-33.65754967023328,69.29251781134204,176.6527305256948,3.0
16.201,-14.584980905443176,-17.846994368438896,31.706680572039645,-32.62013462995719,71.9088597342143,175.7469238911275,3.0
16.202,-14.617075793716687,-17.77378088258251,31.881950031611076,-31.567050888658237,74.5165387220625,174.78216888399172,3.0
16.203,-14.648109867459665,-17.697964697484057,32.05622525928222,-30.49854830024392,77.11399794261511,173.75846396108307,3.0
16.204,-14.67806783819186,-17.619556815148425,32.22944732507495,-29.41488976956565,79.69967157065764,172.67585734475773,3.0
16.205000000000002,-14.706934686843194,-17.53856980714846,32.40155737238351,-28.316351203052648,82.27198660318585,171.53444766134973,3.0
16.206,-14.734695676723526,-17.4550178208769,32.57249666866866,-27.20322144153375,84.82936471654178,170.3343845059572,3.0
16.207,-14.761336366416327,-17.36891658392111,32.742206656679464,-26.075802175047826,87.37022416222526,169.07586893100773,3.0
16.208000000000002,-14.786842622577101,-17.280283406527147,32.910629006118235,-24.93440783950046,89.8929816978597,167.7591538561988,3.0
16.209,-14.811200632620254,-17.189137182113825,33.07770566568115,-23.779365494935707,92.39605454990993,166.38454439743757,3.0
16.21,-14.834396917274955,-17.09549838580961,33.24337891538637,-22.611014685346547,94.8778624043217,164.9523981127027,3.0
16.211000000000002,-14.856418342990692,-16.999389070989942,33.40759141909957,-21.429707279992503,97.33682942109982,163.46312516295828,3.0
16.212,-14.877252134175881,-16.900832863785613,33.57028627718441,-20.235807296097317,99.77138626899797,161.91718838627932,3.0
16.213,-14.896885885249382,-16.799854955550117,33.73140707917956,-19.029690703007347,102.17997217599851,160.31510328375927,3.0
16.214,-14.915307572486704,-16.696482093271644,33.890897956415124,-17.811745207849405,104.56103699133658,158.65743791588955,3.0
16.215,-14.932505565643359,-16.590742567915278,34.048703634486145,-16.582370022719193,106.91304325480687,156.9448127082547,3.0
16.216,-14.948468639335449,-16.482666200698567,34.20476948547928,-15.341975613631185,109.23446826869116,155.17790016583214,3.0
16.217,-14.963185984160654,-16.372284327292682,34.35904157987244,-14.090983431320279,111.5238061679348,153.35742449517917,3.0
16.218,-14.97664721754098,-16.259629779956338,34.51146673801004,-12.829825624153575,113.7795699838851,151.4841611342028,3.0
16.219,-14.988842394269234,-16.144736867614146,34.66199258105774,-11.558944733449117,116.0002936968795,149.55893618946243,3.0
16.22,-14.99976201674261,-16.02764135388594,34.81056758135359,-10.278793371433306,118.18453427313207,147.58262578104853,3.0
16.221,-15.009397044865507,-15.90838043309038,34.95714111205616,-8.989833882248739,120.3308736810985,145.5561552955399,3.0
16.222,-15.017738905604835,-15.786992704247284,35.101663495996455,-7.69253798642449,122.4379208825869,143.48049854775024,3.0
16.223,-15.024779502182078,-15.663518143098656,35.24408605365212,-6.387386409165785,124.50431379405407,141.3566768520801,3.0
16.224,-15.030511222885542,-15.537998072187678,35.38436115014543,-5.074868493021363,126.52872121328856,139.185758004803,3.0
16.225,-15.034926949487637,-15.4104751290317,35.52244224117796,-3.755481795440634,128.50984470688243,136.96885517874645,3.0
16.226,-15.0380200652525,-15.280993232427278,35.6582839178192,-2.4297316717477813,130.4464204539929,134.70712573204455,3.0
16.227,-15.039784462519542,-15.149597546934174,35.79184195006266,-1.0981308441463256,132.33722104189457,132.401769932971,3.0
16.228,-15.040214549849217,-15.016334445592717,35.923073329062795,0.23880104256500445,134.18105720888525,130.05402960317144,3.0
16.229,-15.039305258718207,-14.88125147092576,36.051936307976,1.5805378779244705,135.97677953033326,127.6651866817325,3.0
16.23,-15.037052049751559,-14.74439729427959,36.17839044133219,2.926547554719683,137.72328004378235,125.23656171274575,3.0
16.231,-15.033450918480394,-14.605821673581957,36.30239662284741,4.276292448984371,139.4194938089159,122.76951225961177,3.0
16.232,-15.02849840061419,-14.46557540956408,36.4239171216249,5.629229910501099,141.06440039881042,120.26543124893132,3.0
16.233,-15.022191576817772,-14.323710300532857,36.54291561666122,6.984812762849142,142.65702531860603,117.7257452476794,3.0
16.234,-15.014528076983883,-14.180279095762684,36.659357229597276,8.34248981221199,144.19644134818435,115.1519126772037,3.0
16.235,-15.005506083992758,-14.035335447580216,36.77320855565654,9.701706364125418,145.6817698056217,112.5454219677934,3.0
16.236,-14.99512433695138,-13.888933862228152,36.88443769270834,11.061904747232276,147.11218172828714,109.90778965791658,3.0
16.237000000000002,-14.983382133906067,-13.741129649593223,36.993014268402284,12.422524843128446,148.48689896873435,107.24055844232929,3.0
16.238,-14.970279334022374,-13.591978871878787,37.09890946532948,13.783004621435868,149.80519520284122,104.54529517327714,3.0
16.239,-14.95581635922747,-13.441538291312401,37.202096044164584,15.142780679150682,151.0663968478115,101.82358881928691,3.0
16.240000000000002,-14.939994195312062,-13.289865316987868,37.30254836474275,16.501288783241943,152.26988388785423,99.07704838629718,3.0
16.241,-14.922814392487828,-13.137017950921763,37.400242405045496,17.85796441566065,153.4150906058091,96.30730080559826,3.0
16.242,-14.904279065399221,-12.983054733428167,37.49515577805843,19.212243319710538,154.5015062190489,93.5159887935432,3.0
16.243000000000002,-14.884390892589096,-12.828034687909689,37.58726774647427,20.56356204679407,155.52867541834445,90.70476868794192,3.0
16.244,-14.863153115417191,-12.672017265153393,37.67655923522586,21.91135850263798,156.4961988087196,87.87530826591613,3.0
16.245,-14.840569536433117,-12.515062287236125,37.76301284182925,23.25507249196992,157.40373325149264,85.02928454830807,3.0
16.246,-14.81664451720658,-12.357229891142346,37.84661284452377,24.59414626064234,158.2509921070113,82.16838159572546,3.0
16.247,-14.791382975615837,-12.198580472180165,37.92734520821083,25.928025034356725,159.0377453779713,79.29428830098996,3.0
16.248,-14.764790382601058,-12.03917462731355,38.0051975881804,27.256157552875084,159.76381975330284,76.40869618333272,3.0
16.249,-14.736872758384973,-11.879073098493059,38.080159331638185,28.577996598919135,160.4290985530919,73.51329718901098,3.0
16.25,-14.707636668167723,-11.71833671609142,38.15222147703838,29.89299952076303,161.03352157514098,70.60978150341995,3.0
16.251,-14.677089217303749,-11.557026342547433,38.22137675123355,31.20062874756316,161.57708484407658,67.6998353796755,3.0
